GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
346665430,SushiGo,3,GAME_OVER,82,0,3,2,randomPlayer,42.0,20.0,42.0,GroupAA MCTS Agent,Basic MCTS,2,randomPlayer,2,3,3,1,GroupAA MCTS Agent,1,Basic MCTS,GroupAA MCTS Agent,randomPlayer,Basic MCTS,2
879079583,SushiGo,3,GAME_OVER,82,0,3,3,randomPlayer,62.0,26.0,36.0,GroupAA MCTS Agent,Basic MCTS,1,randomPlayer,1,3,3,2,GroupAA MCTS Agent,2,Basic MCTS,GroupAA MCTS Agent,randomPlayer,Basic MCTS,1
-619666105,SushiGo,3,GAME_OVER,85,0,3,4,randomPlayer,48.0,24.0,49.0,GroupAA MCTS Agent,Basic MCTS,2,randomPlayer,2,3,3,1,GroupAA MCTS Agent,1,Basic MCTS,GroupAA MCTS Agent,randomPlayer,Basic MCTS,2
503938916,SushiGo,3,GAME_OVER,82,0,3,5,randomPlayer,34.0,29.0,58.0,Basic MCTS,GroupAA MCTS Agent,2,randomPlayer,2,3,3,1,Basic MCTS,1,GroupAA MCTS Agent,Basic MCTS,randomPlayer,GroupAA MCTS Agent,2
-428737539,SushiGo,3,GAME_OVER,83,0,3,6,GroupAA MCTS Agent,30.0,51.0,38.0,randomPlayer,Basic MCTS,3,GroupAA MCTS Agent,3,1,1,2,randomPlayer,2,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
-1745970416,SushiGo,3,GAME_OVER,82,0,3,7,Basic MCTS,34.0,45.0,56.0,randomPlayer,GroupAA MCTS Agent,3,Basic MCTS,3,2,2,1,randomPlayer,1,GroupAA MCTS Agent,randomPlayer,Basic MCTS,GroupAA MCTS Agent,2
-1436161366,SushiGo,3,GAME_OVER,81,0,3,8,randomPlayer,51.0,22.0,40.0,GroupAA MCTS Agent,Basic MCTS,1,randomPlayer,1,3,3,2,GroupAA MCTS Agent,2,Basic MCTS,GroupAA MCTS Agent,randomPlayer,Basic MCTS,1
-1151041315,SushiGo,3,GAME_OVER,85,0,3,9,GroupAA MCTS Agent,39.0,56.0,40.0,randomPlayer,Basic MCTS,3,GroupAA MCTS Agent,3,1,1,2,randomPlayer,2,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
697067980,SushiGo,3,GAME_OVER,81,0,3,10,randomPlayer,55.0,31.0,47.0,GroupAA MCTS Agent,Basic MCTS,1,randomPlayer,1,3,3,2,GroupAA MCTS Agent,2,Basic MCTS,GroupAA MCTS Agent,randomPlayer,Basic MCTS,1
1168140970,SushiGo,3,GAME_OVER,84,0,3,11,randomPlayer,28.0,30.0,50.0,Basic MCTS,GroupAA MCTS Agent,3,randomPlayer,3,2,2,1,Basic MCTS,1,GroupAA MCTS Agent,Basic MCTS,randomPlayer,GroupAA MCTS Agent,2
